ChanceAustin,@GovMikeHuckabee Yes and you support this right? https://t.co/9d0PzQ2KbN,,Sat Aug 04 09:02:55 +0000 2018
bishopsring_,"https://t.co/0TXGHPjmXV: Research confirms fecal bacteria contaminated surface water after Hurricane Harvey.
https://t.co/UVdPoSGOiz

via @GoogleNews",,Thu Aug 02 16:45:07 +0000 2018
spsobmh,"RT @News24: 100 school learners hospitalized and monitored after drinking contaminated water

https://t.co/wW2Fwd4zLh https://t.co/ejwsqrEu…","100 school learners hospitalized and monitored after drinking contaminated water

https://t.co/wW2Fwd4zLh https://t.co/ejwsqrEuAY",Thu Aug 02 16:44:56 +0000 2018
lvbgal,"@EvanSchultheis @SeanBrodrick @SecretaryPerry @RepJohnKatko @Exelon @ExelonGen @FitzPatrick_NPP We obviously have different definitions of danger. Danger to me includes contaminated ocean water, land, homes, seaweed snacks (and other products of Japan), sickness like nausea, radiation spread, cancer, loss of community (due to evac/contamination), etc",,Thu Aug 02 16:44:33 +0000 2018
carol_ejsager,"RT @exoticgamora: Reports just released that ground water in Satellite Beach is contaminated with cancer causing chemicals

The same chemic…","Reports just released that ground water in Satellite Beach is contaminated with cancer causing chemicals

The same chemicals used in military firefighting foam at Patrick Air Force base

Local officials &amp; community had been raising alarm about the unusual number of cancer cases https://t.co/dpo7xyURpI",Thu Aug 02 16:43:45 +0000 2018
Samillian1968,"RT @zdboren: 1) This one https://t.co/1UoNwzuSYR 
2) Beware: explosions, contaminated water, falling house prices https://t.co/TZSMeakapP
3…","1) This one https://t.co/1UoNwzuSYR 
2) Beware: explosions, contaminated water, falling house prices https://t.co/TZSMeakapP
3) 'Oops the fracking boom was overhyped' https://t.co/wfdSWpLyfD (still chasing this one!)",Thu Aug 02 16:40:07 +0000 2018
_okeoghene_,"RT @TotaldidWELL: In August 2017, a tanker leakage from Total dealer in Akoka contaminated the water of some houses in the neighbourhood. @…","In August 2017, a tanker leakage from Total dealer in Akoka contaminated the water of some houses in the neighbourhood. @totaldoright has been peddling lies about the incident. @DPRNigeria @bbcafrica @FMEnvng @followlasg @LasepaInfo @NOSDRANigeria",Thu Aug 02 16:38:24 +0000 2018
hashudaipur,"4 dead, two dozen ill due to contaminated water in Chittorgarh - Times of India https://t.co/F9g6VPMcEY #Udaipur #News",,Thu Aug 02 16:34:16 +0000 2018
UE,"RT @zdboren: 1) This one https://t.co/1UoNwzuSYR 
2) Beware: explosions, contaminated water, falling house prices https://t.co/TZSMeakapP
3…","1) This one https://t.co/1UoNwzuSYR 
2) Beware: explosions, contaminated water, falling house prices https://t.co/TZSMeakapP
3) 'Oops the fracking boom was overhyped' https://t.co/wfdSWpLyfD (still chasing this one!)",Thu Aug 02 16:28:02 +0000 2018
zdboren,"1) This one https://t.co/1UoNwzuSYR 
2) Beware: explosions, contaminated water, falling house prices https://t.co/TZSMeakapP
3) 'Oops the fracking boom was overhyped' https://t.co/wfdSWpLyfD (still chasing this one!)",,Thu Aug 02 16:26:33 +0000 2018
yourturnoutgear,"Thereafter, any use or practice with this AFFF could potentially have contaminated their own drinking water. This is scary, and maybe Parchment is the only place in the country this has happened, but my bigger fear is that it is only the first place we have looked",,Thu Aug 02 16:22:04 +0000 2018
shadejay70,"RT @ObakkiFdn: As kids make the morning trek for contaminated water, it means less time for school. A clean water well can change their fut…","As kids make the morning trek for contaminated water, it means less time for school. A clean water well can change their future. Be a part of the change today: https://t.co/9mA02RASK5 https://t.co/DHQ4qWKlV3",Thu Aug 02 16:21:24 +0000 2018
Tshidiso_Ram1,"RT @News24: 100 school learners hospitalized and monitored after drinking contaminated water

https://t.co/wW2Fwd4zLh https://t.co/ejwsqrEu…","100 school learners hospitalized and monitored after drinking contaminated water

https://t.co/wW2Fwd4zLh https://t.co/ejwsqrEuAY",Thu Aug 02 16:21:00 +0000 2018
memes_n_dreams,RT @nuII_dog: This is a funny image of a sink spewing fire but let me take advantage of your valuable attention to educate you why fracking…,"This is a funny image of a sink spewing fire but let me take advantage of your valuable attention to educate you why fracking (which causes contaminated flammable tap water) can literally fucking kill you and why it should really REALLY be more regulated
https://t.co/1feGAzwA3f",Thu Aug 02 16:20:04 +0000 2018
ObakkiFdn,"As kids make the morning trek for contaminated water, it means less time for school. A clean water well can change their future. Be a part of the change today: https://t.co/9mA02RASK5 https://t.co/DHQ4qWKlV3",,Thu Aug 02 16:15:23 +0000 2018
susie_healey,"RT @exoticgamora: Reports just released that ground water in Satellite Beach is contaminated with cancer causing chemicals

The same chemic…","Reports just released that ground water in Satellite Beach is contaminated with cancer causing chemicals

The same chemicals used in military firefighting foam at Patrick Air Force base

Local officials &amp; community had been raising alarm about the unusual number of cancer cases https://t.co/dpo7xyURpI",Thu Aug 02 16:14:51 +0000 2018
MikeReeseM,"RT @frontlinepbs: The death toll in Flint, Michigan, from contaminated water may be much higher than state health officials have acknowledg…","The death toll in Flint, Michigan, from contaminated water may be much higher than state health officials have acknowledged, a FRONTLINE investigation found. The likely killer: Legionnaires’ disease. https://t.co/YbxKOJkz8W https://t.co/FhJxY0AV54",Thu Aug 02 16:10:44 +0000 2018
MrSunderani,@UnPlasticUs Where is the stat that 80% of drinking water is contaminated with microplastics,,Thu Aug 02 16:10:11 +0000 2018
taunapierce,"RT @frontlinepbs: The death toll in Flint, Michigan, from contaminated water may be much higher than state health officials have acknowledg…","The death toll in Flint, Michigan, from contaminated water may be much higher than state health officials have acknowledged, a FRONTLINE investigation found. The likely killer: Legionnaires’ disease. https://t.co/YbxKOJkz8W https://t.co/FhJxY0AV54",Thu Aug 02 16:07:27 +0000 2018
carrie29938086,"RT @frontlinepbs: The death toll in Flint, Michigan, from contaminated water may be much higher than state health officials have acknowledg…","The death toll in Flint, Michigan, from contaminated water may be much higher than state health officials have acknowledged, a FRONTLINE investigation found. The likely killer: Legionnaires’ disease. https://t.co/YbxKOJkz8W https://t.co/FhJxY0AV54",Thu Aug 02 16:06:19 +0000 2018
DebraDuGemini59,"RT @frontlinepbs: The death toll in Flint, Michigan, from contaminated water may be much higher than state health officials have acknowledg…","The death toll in Flint, Michigan, from contaminated water may be much higher than state health officials have acknowledged, a FRONTLINE investigation found. The likely killer: Legionnaires’ disease. https://t.co/YbxKOJkz8W https://t.co/FhJxY0AV54",Thu Aug 02 16:05:59 +0000 2018
JoeWiederhold,"RT @exoticgamora: Reports just released that ground water in Satellite Beach is contaminated with cancer causing chemicals

The same chemic…","Reports just released that ground water in Satellite Beach is contaminated with cancer causing chemicals

The same chemicals used in military firefighting foam at Patrick Air Force base

Local officials &amp; community had been raising alarm about the unusual number of cancer cases https://t.co/dpo7xyURpI",Thu Aug 02 16:04:17 +0000 2018
pghdrew,"RT @exoticgamora: Reports just released that ground water in Satellite Beach is contaminated with cancer causing chemicals

The same chemic…","Reports just released that ground water in Satellite Beach is contaminated with cancer causing chemicals

The same chemicals used in military firefighting foam at Patrick Air Force base

Local officials &amp; community had been raising alarm about the unusual number of cancer cases https://t.co/dpo7xyURpI",Thu Aug 02 15:59:20 +0000 2018
DebSunshn,"RT @exoticgamora: Reports just released that ground water in Satellite Beach is contaminated with cancer causing chemicals

The same chemic…","Reports just released that ground water in Satellite Beach is contaminated with cancer causing chemicals

The same chemicals used in military firefighting foam at Patrick Air Force base

Local officials &amp; community had been raising alarm about the unusual number of cancer cases https://t.co/dpo7xyURpI",Thu Aug 02 15:58:10 +0000 2018
Mr_Mokgoroane,"RT @News24: 100 school learners hospitalized and monitored after drinking contaminated water

https://t.co/wW2Fwd4zLh https://t.co/ejwsqrEu…","100 school learners hospitalized and monitored after drinking contaminated water

https://t.co/wW2Fwd4zLh https://t.co/ejwsqrEuAY",Thu Aug 02 15:54:51 +0000 2018
WhiteCentauress,"RT @exoticgamora: Reports just released that ground water in Satellite Beach is contaminated with cancer causing chemicals

The same chemic…","Reports just released that ground water in Satellite Beach is contaminated with cancer causing chemicals

The same chemicals used in military firefighting foam at Patrick Air Force base

Local officials &amp; community had been raising alarm about the unusual number of cancer cases https://t.co/dpo7xyURpI",Thu Aug 02 15:53:04 +0000 2018
AdeyemiIkuomola,"RT @News24: 100 school learners hospitalized and monitored after drinking contaminated water

https://t.co/wW2Fwd4zLh https://t.co/ejwsqrEu…","100 school learners hospitalized and monitored after drinking contaminated water

https://t.co/wW2Fwd4zLh https://t.co/ejwsqrEuAY",Thu Aug 02 15:50:09 +0000 2018
alduk72,"RT @larryglatt1: @NFIB You helping to #Promote #FAKEJUSTICE. Next you'll want more #EPA rulings dropped so pur water is contaminated, hopef…","@NFIB You helping to #Promote #FAKEJUSTICE. Next you'll want more #EPA rulings dropped so pur water is contaminated, hopefully your family will drink it &amp; breath fhe bad air going broke paying for healthcare &amp; losing homes to pay for this debt",Thu Aug 02 15:48:31 +0000 2018
ShahzebQ,RT @KhurrumZamanPTI: 85% of the water available in Sindh’s government hospitals are below World Health Organization’s standards https://t.c…,85% of the water available in Sindh’s government hospitals are below World Health Organization’s standards https://t.co/vfgUypgo3C,Thu Aug 02 15:48:27 +0000 2018
mayana208,"RT @News24: 100 school learners hospitalized and monitored after drinking contaminated water

https://t.co/wW2Fwd4zLh https://t.co/ejwsqrEu…","100 school learners hospitalized and monitored after drinking contaminated water

https://t.co/wW2Fwd4zLh https://t.co/ejwsqrEuAY",Thu Aug 02 15:44:27 +0000 2018
Nate_ready2go,"RT @exoticgamora: Reports just released that ground water in Satellite Beach is contaminated with cancer causing chemicals

The same chemic…","Reports just released that ground water in Satellite Beach is contaminated with cancer causing chemicals

The same chemicals used in military firefighting foam at Patrick Air Force base

Local officials &amp; community had been raising alarm about the unusual number of cancer cases https://t.co/dpo7xyURpI",Thu Aug 02 15:41:34 +0000 2018
